AIRPORT_ID,AIRPORT_NAME,AIRPORT_CITY,AIRPORT_STATE,AIRPORT_COUNTRY,ICAO,LCHG_DATE,RECORD_STATUS,Record_End
00A ,TOTAL RF                                          ,BENSALEM              ,PA,  , ,7/10/02,A, 
00AK,LOWELL FIELD                                      ,ANCHOR POINT          ,AK,  , ,8/3/06,A, 
00AL,EPPS AIRPARK                                      ,HARVEST               ,AL,  , ,5/29/02,A, 
00AR,NEWPORT HOSPITAL & CLINIC                         ,NEWPORT               ,AR,  , ,6/5/08,I, 
00AZ,CORDES                                            ,CORDES                ,AZ,  , ,3/19/13,I, 
00B ,BUCKEYE EXECUTIVE                                 ,HEBRON                ,OH,  , ,11/19/12,I, 
00C ,ANIMAS AIR PARK                                   ,DURANGO               ,CO,  , ,6/4/02,A, 
00CA,GOLDSTONE /GTS/                                   ,BARSTOW               ,CA,  , ,6/2/89,A, 
00CL,NATOMAS FIELD                                     ,SACRAMENTO            ,CA,  , ,4/13/06,I, 
00CO,CASS FIELD                                        ,BRIGGSDALE            ,CO,  , ,6/4/02,A, 
00D ,ROGERSBURG                                        ,LEWISTON              ,ID,  , ,5/16/05,I, 
00E ,LAVA HOT SPRINGS                                  ,LAVA HOT SPRINGS      ,ID,  , ,11/20/08,I, 
00F ,BROADUS                                           ,BROADUS               ,MT,  , ,4/13/06,A, 
00FA,GRASS PATCH                                       ,BUSHNELL              ,FL,  , ,6/4/02,A, 
00FD,RINGHAVER                                         ,RIVERVIEW             ,FL,  , ,2/7/14,I, 
00FL,RIVER OAK                                         ,OKEECHOBEE            ,FL,  , ,6/2/89,A, 
00G ,TAYLOR-VAN GELDER                                 ,HAMMONDSPORT          ,NY,  , ,10/31/03,I, 
00GA,LT WORLD                                          ,LITHONIA              ,GA,  , ,6/11/02,A, 
00GE,CAFFREY                                           ,HIRAM                 ,GA,  , ,5/13/03,A, 
00HI,KAUPULEHU                                         ,KAILUA/KONA           ,HI,  , ,6/11/02,A, 
00I ,CHAPMAN MEMORIAL FIELD                            ,CENTERBURG            ,OH,  , ,10/2/02,I, 
00ID,DELTA SHORES                                      ,CLARK FORK            ,ID,  , ,5/16/05,A, 
00II,BAILEY GENERATION STATION                         ,CHESTERTON            ,IN,  , ,6/5/08,I, 
00IL,HAMMER                                            ,POLO                  ,IL,  , ,6/11/02,A, 
00IN,ST MARY MEDICAL CENTER                            ,HOBART                ,IN,  , ,6/11/02,A, 
00IS,HAYENGA'S CANT FIND FARMS                         ,KINGS                 ,IL,  , ,6/2/89,A, 
00J ,GEORGIA-PACIFIC                                   ,CEDAR SPRINGS         ,GA,  , ,10/2/02,I, 
00K ,REDPATH RLA                                       ,BALDWIN               ,IL,  , ,10/2/02,I, 
00KS,HAYDEN FARM                                       ,GARDNER               ,KS,  , ,6/2/89,A, 
00KY,ROBBINS ROOST                                     ,STANFORD              ,KY,  , ,10/31/03,A, 
00L ,LYALL-ROBERTS                                     ,ESCONDIDO             ,CA,  , ,10/2/02,I, 
00LA,SHELL CHEMICAL EAST SITE                          ,GONZALES              ,LA,  , ,5/26/10,A, 
00LL,AC & R COMPONENTS                                 ,CHATHAM               ,IL,  , ,6/11/02,A, 
00LS,LEJEUNE                                           ,ESTERWOOD             ,LA,  , ,5/16/05,A, 
00M ,THIGPEN FIELD                                     ,BAY SPRINGS           ,MS,  , ,6/2/89,A, 
00MD,SLATER FLD                                        ,FEDERALSBURG          ,MD,  , ,7/2/02,A, 
00MI,DOW CHEMICAL                                      ,LUDINGTON             ,MI,  , ,12/19/13,I, 
00MN,BATTLE LAKE MUNI                                  ,BATTLE LAKE           ,MN,  ,N,2/15/01,A, 
00MO,COOPER FLYING SERVICE                             ,ALBA                  ,MO,  , ,7/2/02,A, 
00MT,SANDS RANCH                                       ,HAVRE                 ,MT,  , ,5/2/13,I, 
00N ,BUCKS                                             ,BRIDGETON             ,NJ,  , ,6/2/89,A, 
00NC,NORTH RALEIGH                                     ,LOUISBURG             ,NC,  , ,11/21/92,A, 
00NJ,COLGATE-PISCATAWAY                                ,NEW BRUNSWICK         ,NJ,  , ,6/2/89,A, 
00NK,CLICHE COVE                                       ,BEEKMANTOWN           ,NY,  , ,5/26/10,A, 
00NR,RODANTHE DARE COUNTY                              ,RODANTHE              ,NC,  , ,11/19/12,A, 
00NY,WEISS AIRFIELD                                    ,WEST BLOOMFIELD       ,NY,  , ,7/9/02,A, 
00OH,GOOD SAMARITAN MEDICAL CENTER                     ,CINCINNATI            ,OH,  , ,4/26/11,A, 
00OI,MIAMI VALLEY HOSPITAL                             ,DAYTON                ,OH,  , ,6/2/89,A, 
00OR,STEEL SYSTEMS                                     ,SALEM                 ,OR,  , ,6/2/89,A, 
00PA,R J D                                             ,COATESVILLE           ,PA,  , ,7/10/02,A, 
00PN,FERRELL FIELD                                     ,MERCER                ,PA,  , ,1/15/09,A, 
00PS,THOMAS FIELD                                      ,LOYSVILLE             ,PA,  , ,4/26/11,I, 
00Q ,THAYER AVIATION                                   ,GRIMES                ,CA,  , ,1/8/03,I, 
00R ,LIVINGSTON MUNI                                   ,LIVINGSTON            ,TX,  , ,6/2/89,A, 
00S ,MC KENZIE BRIDGE STATE                            ,MC KENZIE BRIDGE      ,OR,  , ,6/2/89,A, 
00SC,FLYING O                                          ,SUMTER                ,SC,  , ,5/13/03,A, 
00TA,SW REGION FAA                                     ,FORT WORTH            ,TX,  , ,8/1/94,A, 
00TE,TCJC-NORTHEAST CAMPUS                             ,FORT WORTH            ,TX,  , ,7/17/02,A, 
00TN,RAGSDALE ROAD                                     ,MANCHESTER            ,TN,  , ,7/17/02,A, 
00TS,ALPINE RANGE                                      ,EVERMAN               ,TX,  , ,6/2/89,A, 
00TX,SAN JACINTO METHODIST HOSPITAL                    ,BAYTOWN               ,TX,  , ,7/17/02,A, 
00U ,DRY CREEK RANCH                                   ,DRY CREEK             ,NV,  , ,10/2/02,I, 
00UT,CLEAR CREEK RANCH                                 ,KANAB                 ,UT,  , ,9/26/08,I, 
00V ,MEADOW LAKE                                       ,COLORADO SPRINGS      ,CO,  , ,4/15/92,A, 
00VA,VAUGHAN                                           ,ALTON                 ,VA,  , ,1/15/09,A, 
00VI,GROUNDHOG MOUNTAIN                                ,HILLSVILLE            ,VA,  , ,10/31/02,A, 
00W ,LOWER GRANITE STATE                               ,COLFAX                ,WA,  , ,7/24/02,A, 
00WA,HOWELL                                            ,LONGBRANCH            ,WA,  , ,7/24/02,A, 
00WI,NORTHERN LITE                                     ,WAUPACA               ,WI,  , ,7/24/02,A, 
00WN,HAWKS RUN                                         ,ASOTIN                ,WA,  , ,11/27/06,A, 
00WV,LAZY J. AERODROME                                 ,BEVERLY               ,WV,  , ,10/31/02,A, 
00WY,EVANS                                             ,LARAMIE               ,WY,  , ,12/22/03,I, 
00X ,DORAL RESORT & COUNTRY CLUB                       ,MIAMI                 ,FL,  , ,10/2/02,I, 
00XA,WISKEY RANCH                                      ,HEMPSTEAD             ,TX,  , ,11/19/12,A, 
00XS,L P ASKEW FARMS                                   ,O'DONNELL             ,TX,  , ,6/2/89,A, 
00Y ,KAPAUN-WILSON FIELD                               ,GRACEVILLE            ,MN,  , ,6/2/89,A, 
01A ,PURKEYPILE                                        ,PURKEYPILE            ,AK,  , ,7/1/93,A, 
01AA,DONLIN CREEK                                      ,CROOKED CREEK         ,AK,  , ,11/19/12,A, 
01AK,PROVIDENCE SEWARD MEDICAL CENTER                  ,SEWARD                ,AK,  , ,5/29/02,A, 
01AL,WARE ISLAND                                       ,CLANTON               ,AL,  , ,5/29/02,A, 
01AR,COMMUNITY HOSPITAL OF DE QUEEN                    ,DE QUEEN              ,AR,  , ,5/29/02,A, 
01AZ,YAT                                               ,CAMP VERDE            ,AZ,  , ,5/29/02,A, 
01B ,TIPPECANOE                                        ,WARSAW                ,IN,  , ,4/26/11,A, 
01C ,GRANT                                             ,GRANT                 ,MI,  , ,2/7/14,I, 
01CA,LUGO SUBSTATION                                   ,HESPERIA              ,CA,  , ,6/2/89,A, 
01CL,SWANSBORO COUNTRY                                 ,PLACERVILLE           ,CA,  , ,6/4/02,A, 
01CN,LOS ANGELES COUNTY SHERIFF'S DEPARTMENT           ,LOS ANGELES           ,CA,  , ,12/11/02,A, 
01CO,ST VINCENT GENERAL HOSPITAL                       ,LEADVILLE             ,CO,  , ,6/2/89,A, 
01CT,BERLIN FAIRGROUNDS                                ,BERLIN                ,CT,  , ,6/26/06,A, 
01D ,LAKE WAWASEE                                      ,SYRACUSE              ,IN,  , ,4/26/11,A, 
01E ,LAKE JAMES                                        ,ANGOLA                ,IN,  , ,4/26/11,A, 
01F ,HAMILTON LAKE                                     ,HAMILTON              ,IN,  , ,4/26/11,A, 
01FA,RYBOLT RANCH                                      ,ORLANDO               ,FL,  , ,6/4/02,A, 
01FD,FLORIDA HOSPITAL-ALTAMONTE                        ,ALTAMONTE SPRINGS     ,FL,  , ,7/9/91,A, 
01FL,CEDAR KNOLL FLYING RANCH                          ,GENEVA                ,FL,  , ,6/4/02,A, 
01G ,PERRY-WARSAW                                      ,PERRY                 ,NY,  , ,6/2/89,A, 
01GA,MEDICAL CENTER                                    ,COLUMBUS              ,GA,  , ,8/1/94,A, 
