date,state,city,weather,light,visibility,fatalities,primary_cause,type,pilot_age,total_hours_model_flown,hours_model_flown_90_days,hours_flown_90_days,total_hours_flown,pilot_certification,engines,aircraft_make,aircraft_model,hours_airframe,remarks
1979-04-15,NJ,HUNTERDON,Hurricane,Night,6,null,Landing Far Down / Land Area Overshot,Overshoot Landing,32,143,null,null,783,null,1,PROPJT,200,null,PILOT TOUCHED DOWN ON WET RUNWAY WITH EXCESS SPEED. HYDROPLANED, OVERRAN THE RUNWAY
1979-02-12,AK,FAIRBANKS,Hurricane,Unknown,Greater than 10 miles,null,Improper Level Off,Wheels - Up Landing,60,3000,null,null,25000,null,2,CURTIS,C46ACURTIS,null,INTENTIONAL GEAR UP LANDING AFTER SEPARATION OF WHEEL DURING PREVIOUS SHORT FIELD LANDING ATTEMPT.
1979-03-25,AK,BIRCHWOOD,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Nose Up or Over,34,16,1,42,2465,null,1,CESSNA,170,2130,PILOT ALLOWED AIRCRAFT TO VEER OFF RUNWAY ON LANDING ROLL. STRUCK SNOWBANK, FLIPPED OVER.
1979-12-11,AK,SITKA,Hurricane,Day,Greater than 10 miles,null,Improper Operation of Flight Controls in Air,Loss of Directional Control - Drag Wingtip,59,564,46,46,6658,null,1,ARCTIC,S1B2,547,TRIED WATER TAKEOFF WITH ICE ON AIRCRAFT. LEFT WING STALLED ON LIFTOFF. LEFT FLOAT WING HIT WATER.
1978-12-28,IN,FT WAYNE,Hurricane,Day,null,null,Failed to Avoid Objects or Obstructions,Collision With Other,42,104,null,null,2125,null,2,PIPER,PA34200T,null,PILOT TAXIING ON THE RAMP ALONG PARKED AIRCRAFT STRUCK A WING ON A LIGHT-POLE.
1979-07-23,WA,MEADE,Hurricane,Day,7,null,Poor Preflight Plan - Weight and Balance,Collision With Trees,30,118,22,22,1321,null,null,TCRAFK,L2,1805,UNABLE TO CLIMB AFTER TAKE OFF. ACFT SETTLED INTO TREES. DENSITY ALTITUDE AND LOW ALTITUDE TURN POSSIBLE FACTORS.
1979-07-11,OH,DAYTON,Fog,Day,10,null,Improper Operation of Flight Controls in Air,Uncontrollable Collision With Ground,24,773,207,355,1850,null,2,BEECH,E18S,8560,ACFT STRUCK A WIRE WHILE EXECUTING A FORCED LANDING.
1979-12-09,NY,SHIRLEY,null,Day,5,null,Failed to Avoid Ground or Water Collision,Loss of Directional Control - Drag Wingtip,42,610,34,51,1134,null,1,GULSTM,AA1B,1569,CFI GAVE STUDENT SIMULATED FORCED LANDING AFTER TAKEOFF. ALLOWED AIRCRAFT WING TO HIT RUNWAY ON LANDING ATTEMPT.
1978-11-14,AK,ANCHORAGE,null,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,29,60,null,null,60,null,1,CESSNA,152,null,LOST DIRECTIONAL CONTROL ON ROLLOUT. RAN OFF SIDE OF RUNWAY.STUDENT PILOT.
1979-07-15,IN,BROWNSBURG,Hurricane,Day,Greater than 10 miles,null,Miused Carburetor Heat / Deicing Procedure,Nose Up or Over,50,836,46,46,1960,null,1,LUSCOM,8,2123,ENG. STOP. ON FINAL APPROACH DUE TO CARB. ICE. HIT DITCH SHORT OF RWY. BOUNCED, LANDED INVERTED ON RWY.
