c5,remark
19450723000019A,THE AIRCRAFT IMPACTED THE GROUND AND WAS DISCOVERED 40 YEARS LATER.  SUSPECT ENGINE FAILURE.
19480101000019A,"NORTHWEST AIRLINES FLIGHT 442, A DC-4, HAD BEEN MISSING SINCE 1948, THE WRECKAGE WAS LOCATED ON 7/26/99 AT THE 6,500 FOOT LEVEL OF MOUNT SANFORD, ALL 30 POB SUFFERED FATAL INJURIES, OTHER CIRCUMSTANCES ARE UNKNOWN."
19481024000009A,AIRCRAFT WAS FOUND IN A REMOTE AREA. SUSPECT PILOT ATTEMPTED FLIGHT IN REPORTED HEAVY SNOW SQUALLS AND HIT TREES.
19620719021179A,LOST IN MOUNTAINS. FOUND 32 YEARS LATER. REMOVES MISSING AIRCRAFT STATUS.
19710717999999A,WRECKAGE OF MISSING AIRCRAFT LOCATED IN DEER MOUNTAIN RAVINE. STRONG CONVECTIVE CURRENTS IN AREA TIME OF CRASH.
19711026050009A,MISSING AIRCRAFT FOUND 13 YEARS LATER. HAD CRASHED INTO TREES. WITNESSES IN AREA REPORTED MIST AND NEAR ZERO FOG.
19711122070489A,BRAKES INOP ON LANDING. RAN INTO A DITCH AT END OF RUNWAY. NO BRAKE FLUID IN MASTER CYLINDER. RECENT BRAKE WORK.
19720113000019A,LOST CONTROL NEAR MT RAINIER AT NIGHT IN SNOW STORM. IMPACT AT 7000 FT. MT TOP 14400 FT. FOUND WRECK 20 YEARS LATER
19720509000009A,WRECAKAGE FOUND 9 YEARS AFTER ACCIDENT. AIRPLANE STRUCK TREES ON MOUNTAIN IN LEVEL FLIGHT.POSSIBLE WEATHER INVOLVED
19730101000139A,PLT REPTD BOTH ENGS LOST PWR.HIT PWR LINES.PLT BLOOD ALC LEVEL 0.08 PCT.NOT MULTI-ENG CERTIFICATED
19730101000259A,TAXIED OFF RWY ON R SIDE OF TAXIWAY. HIT SNOW RIDGE ON TAXIWAY EDGE.
19730101000459A,"BELT DRIVE IDLER PULLEY FAILED,BEARINGS SEIZED. TOO LOW FOR EFFECTIVE AUTOROTATION."
19730101000719A,56MG ALCOHOL.
19730101004699A,"PLT ATTEMPTED LANDING ON UNIMPROVED ROAD,WHEEL STRUCK DITCH,ACFT NOSED OVR."
19730102000039A,LEFT MAG INOP.
19730102000269A,RADIO RECEIVER AND TRANSMITTER FOUND ON FREQS OTHER THAN SHERIDAN.FSS WARNING RE GR UP UNHEARD.
19730102000279A,
19730102000839A,ANTIRETRACTION SWITCH MALFUNCTIONED.MISTOOK GR SWITCH FOR FLAP HANDLE.
19730102001009A,PLT OVERFLEW PLANNED ENRTE REFUEL STOP BECAUSE FUEL GAUGES ERRONEOUSLY INDICATED ENOUGH REMAINING.
19730102002269A,
19730103000099A,
19730103000169A,
19730103000289A,SLIPPAGE OF FREE WHEELING UNIT. FLOAT EQUIPPED.
19730103000379A,"ACFT NOT DEICER EQPTD.FLEW INTO FCSTD ICG CONDS.ENCOUNTERED TURBC,UN CONTROL DESCENT."
19730103000849A,
19730103001119A,HIT PWR LINES.
19730103002279A,FSS ADZD VFR FLT NOT RECOMMENDED.FLT MADE VFR-ON-TOP.CRASHED DRG RADAR APCH.
19730103003689A,"BEGAN DESCENT TO ILS APCH LATE.BELIEVED PLT EXPEDITED DESCENT,APCH FLAPS,GR DWN.L WG,ENG,TAIL SEP."
19730104000109A,DURG PRACTICE SHORTFIELD LNDG MAIN GEAR HIT TWO FT HIGH ICE RIDGE ACROSS APCH END OF RWY.
19730104000149A,ENCOUNTERED GND FOG.
19730104000179A,ACFT LOADER MAN WALKED AROUND TRUCK AND INTO THE PROPELLER.
19730104000299A,
19730104000729A,DESCENDED BELOW TERRAIN CLEARANCE TO STAY VFR.
19730105000049A,RECOVERY DATE 1/6/73.HIT LTD TV TWR GUY WIRE 585 FT AGL.PLT ADVSD VFR FLT NOT RECOMMENDED.
19730105000469A,LNDD IN COTTON FLD.
19730105000929A,PREV ACFT BLEW SNOW UP FRM RWY DRG TKOF.
19730105001129A,ACFT FLIPPED ONTO BACK.
19730105001289A,BRIEFED BY TOWER CTLR.
19730106000189A,
19730106000339A,"PREFLT DRAINED WATER FROM FUEL SYS.IN FLT 30MIN LOST PWR,ICE FOUND IN GASCOLATOR,WIND GUSTING 35K."
19730106000389A,IP DID NOT TAKE CONTROL SOON ENOUGH TO BE ABLE TO EFFECT SAFE RECOVERY.
19730106000489A,ACFT PLACARDED-SLIPS NOT TO EXCEED 30SEC WITH TANKS LESS THAN 1/2 FULL.GR COLLAPSED.
19730106000599A,
19730106004049A,"FLEW 16HRS IN 24HR PERIOD.INFLT WITH OTR ACFT,LOST CTC.RADIO TRANS-FUEL EX,DITCHING.ACFT NOT FOUND"
19730106005579A,"ONE PAX ASSUMED FATAL,BODY NOT RECOVERED.L MN LDG GR,3 BODIES IDENT,1 BODY UNIDENT IN MOBILE BAY."
19730106016339A,INVESTIGATION UNDER THE JURISDICTION OF THE MEX GOV.
19730107000019A,PLT BLOOD ALCOHOL 0.12
19730107000059A,
19730107000119A,
19730107000309A,
19730107000399A,RWY COND NOT NOTAMED. TWR TOLD CREW ABOUT 1 3/4 INCHES SNOW ON RWY BFOR LDG.
19730107000479A,"PLT STATED INTAKE MANIFOLD TOO LONG,ALLOWED ICE TO FORM. HAD 20 MIN IN TYPE ACFT. VW ENG."
19730107000499A,ICE FOUND IN LINE TO FUEL BOWL.
19730107000509A,"HIT PA-30,N8366Y,AND PA-24,N5812P,BOTH SUBSTANTIAL DMG."
19730107000609A,"HIT GND NOSE DWN,NEAR VERTICAL DESCENT."
19730107000619A,"SKID TO L,WING TIP HIT FROZEN SNOWBANK,THEN SKIDDED R HIT OTR SNOW BANK."
19730107001379A,
19730107001389A,DITCHED IN RESERVOIR.
19730107001399A,ENCOUNTERED GND FOG DRG APCH.NOT PA-22 SOLO ENDORSED.
19730107001649A,LND MORE THAN HALFWAY DOWN RWY.
19730107003209A,
19730107005441A,LACK OF VIGILANCE TOWER & OTHER PILOTS. PILOT ATTEMPTED LANDING WRONG RUNWAY.
19730107005442A,LACK OF VIGILANCE CONTROL TOWER PERSONNEL.PILOT OF OTHER ACFT FAILED TO COMPLY WITH TWR DIRECTIONS
19730108000739A,HIT UNLIGHTED PWR LINE.CONTD TO SAFE LDG.VASI INSTALLED.
19730108000859A,METAL CHIP FROM EXHAUST MANIFOLD WEDGED IN TURBOCHARGER.
19730109000029A,LANDED IN GRASS AREA ADJ TO RUNWAY.
19730109000069A,"STALLED DRG TURN TO FINAL APCH,PARTIAL RECOVERY BFR GND CTCT."
19730109000079A,
19730109000199A,HIT TREE STUMP APRX 75FT R OF RWY.
19730110000209A,MISJUDGED PWR RECOVERY FROM PRACTICE AUTOROTATION
19730110000939A,PILOT TOLD FSS PERSONNEL HE FELT HE COULD GO UNDER THE CLOUDS.
19730110001139A,
19730110003009A,"MIXT CTL CAME LOOSE AT CARB,WENT TO IDLE CUTOFF.FLEW PATTERN VERY LOW ALT,WATCHING OTHER ACFT."
19730110018679A,INVESTIGATION UNDER THE JURISDICTION OF THE GOVT OF MEXICO.
19730111000219A,COYOTE HUNTING THROTTLED BACK BEGAN TURN ADDED PWR DUE RISING TRRN ENG SPUTTERED.
19730111000229A,
19730111000319A,"PILOT SAW ACFT ON RUNWAY,WITNESSES DID NOT CONFIRM."
19730111000329A,"ACFT OBSVD LEVEL OFF HIGH,GO-ARND INITIATED IN NOSE HI ATTITUDE."
19730111000409A,LOW FLT OVER RIVER. HIT PWR LINES.
19730111001409A,ICE ON L WG. WAS DIVERTED DURING PRE-FLT.
19730111002599A,"PLT,AN ACFT MECH,INSTALLED VACUUM PUMP IMPROPERLY BFOR TKOF.OIL LEAKED OUT,ENG FAILED INTERNALLY."
19730111002809A,NOSE WHEEL STRUT AND ENG COWL DMGD.
19730111003219A,INVESTIGATION UNDER THE JURISDICTION OF THE GOVT OF MEXICO.
19730112000519A,
